tab,card,file,db_reads,db_writes,api_endpoints,visible_to,plan_gated,last_commit_date,decision,notes
Overview,InlineModalsV2 / TelegramModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.telegram_registration_token; clients.telegram_chat_id,clients.telegram_notifications_enabled,POST /api/dashboard/telegram-link; PATCH /api/dashboard/settings,both,no,active,keep,Deep-link auth; works
Overview,InlineModalsV2 / IvrModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.ivr_enabled; clients.ivr_prompt,clients.ivr_enabled; clients.ivr_prompt,PATCH /api/dashboard/settings,both,no,active,keep,DB_ONLY; runtime gates IVR in inbound webhook
Overview,InlineModalsV2 / VoicemailModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.voicemail_greeting_text; clients.voicemail_greeting_audio_url,clients.voicemail_greeting_text,PATCH /api/dashboard/settings,both,no,active,keep,DB_ONLY fallback path (only fires when Ultravox unreachable)
Overview,InlineModalsV2 / CalendarModal (booking),src/components/dashboard/home/InlineModalsV2.tsx,clients.booking_enabled; clients.calendar_auth_status,clients.booking_enabled,POST /api/calendar/oauth/start; PATCH /api/dashboard/settings,both,pro/core,active,keep,patchCalendarBlock + sync + post-enable verification
Overview,InlineModalsV2 / TransferModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.forwarding_number; clients.transfer_conditions,clients.forwarding_number; clients.transfer_conditions,PATCH /api/dashboard/settings,both,pro/core,active,keep,Both fields trigger sync
Overview,InlineModalsV2 / KnowledgeModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.website_scrape_status; knowledge_chunks(count),clients.website_url,POST /api/dashboard/scrape-website; PATCH /api/dashboard/settings,both,no,active,keep,Mostly a deep-link hub to /dashboard/knowledge
Overview,InlineModalsV2 / GbpModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.gbp_place_id,clients.gbp_*,POST /api/onboard/places-details,both,no,active,keep,Google Business Profile import
Overview,InlineModalsV2 / TodayUpdateModal (injected_note),src/components/dashboard/home/InlineModalsV2.tsx,clients.injected_note,clients.injected_note + injected_note_expires_at (24h),PATCH /api/dashboard/settings,both,no,active,keep,PER_CALL_CONTEXT_ONLY — injected as RIGHT NOW block at call time; auto-expires in 24h
Overview,InlineModalsV2 / HoursModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.business_hours_weekday/weekend; clients.after_hours_behavior,those columns,PATCH /api/dashboard/settings,both,no,active,keep,Triggers prompt patch on weekday; auto-regens slot prompt
Overview,InlineModalsV2 / ServicesModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.services_offered,clients.services_offered,PATCH /api/dashboard/settings,both,no,active,keep,Triggers services patcher; works
Overview,InlineModalsV2 / FaqsModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.extra_qa,clients.extra_qa,PATCH /api/dashboard/settings,both,no,active,keep,Triggers pgvector reseed when knowledge_backend=pgvector
Overview,InlineModalsV2 / GapsModal,src/components/dashboard/home/InlineModalsV2.tsx,knowledge_query_log(unresolved),knowledge_chunks(approved),GET /api/dashboard/knowledge/gaps; POST /api/dashboard/knowledge/answer-gap,both,no,active,keep,Closes the learning loop
Overview,InlineModalsV2 / CallDetailModal,src/components/dashboard/home/InlineModalsV2.tsx,call_logs(by id),none,GET /api/dashboard/calls/[id],both,no,active,keep,Lightweight call-row drill-in
Overview,Weekly ROI inline strip,src/components/dashboard/home/UnifiedHomeSectionV2.tsx:185,call_logs(7d aggregates),none,GET /api/dashboard/home (weeklyStats),both,no,active,keep,Tiny strip; cheap reassurance
Overview,ActivationTile (paid-awaiting),src/components/dashboard/home/ActivationTile.tsx,clients.activation.state,none,GET /api/dashboard/home (activation),both,no,active,keep,Only renders when isPaidAwaiting; deep-links to Go Live
Overview,Forwarding nudge link (Go Live),src/components/dashboard/home/UnifiedHomeSectionV2.tsx:222,clients.twilio_number; stats.totalCalls,none,none,both,no,active,keep,Conditional: paid + has twilio + 0 calls
Overview,TestCallCard (orb),src/components/dashboard/settings/TestCallCard.tsx,clients.ultravox_agent_id; clients.tools,call_logs(insert call_status=test),POST /api/dashboard/agent-test,both,no,active,keep,The Talk-to-Agent orb. Appears on Overview + Knowledge + Settings hero + Settings/general — 4 surfaces; SHARED COMPONENT (good) but visible 4x (consolidate)
Overview,V2CallList (recent calls right column),src/components/dashboard/home/V2CallList.tsx,call_logs(latest 5),none,GET /api/dashboard/calls,both,no,active,keep,Shares useCallLog hook with Calls page (D266 ✅)
Overview,AgentKnowsCard (Facts/FAQs/Services/KB/Google consolidated),src/components/dashboard/home/AgentKnowsCard.tsx,clients.business_facts; clients.extra_qa; clients.services_offered; knowledge_chunks(approved count); clients.business_hours_weekday,none (display only),GET /api/dashboard/home,both,no,active,keep,D290 Wave 2 win — single tile replacing AgentSpeaksCard + 2 others; CTAs deep-link
Overview,Agent Readiness band (6 rows: Hours/Services/FAQs/Booking/Knowledge/Gaps),src/components/dashboard/home/UnifiedHomeSectionV2.tsx:288,clients.business_hours_weekday; activeServicesCount; extra_qa.length; calendarConnected; knowledge.approved_chunk_count; insights.openGaps,(opens inline modals),GET /api/dashboard/home,both,no,active,keep,Each row opens an InlineModalsV2 modal — consolidates the old AgentReadinessRow + PendingReviewTile + UnansweredQuestionsTile
Overview,AgentSyncBadge,src/components/dashboard/AgentSyncBadge.tsx,clients.last_agent_sync_at; clients.last_agent_sync_status,none,GET /api/dashboard/home,both,no,active,keep,Tiny last-sync chip; investigated D442 — last_agent_sync_at NULL on 3 of 5 active clients (snowflakes) because the column is never written for legacy-prompt-rejection path
Overview,Plan link card (footer 2-col),src/components/dashboard/home/UnifiedHomeSectionV2.tsx:423,clients.selected_plan; usage,none,GET /api/dashboard/home,both,no,active,keep,Deep-links to /dashboard/billing
Overview,Upgrade CTA (trial only),src/components/dashboard/home/UnifiedHomeSectionV2.tsx:442,clients.subscription_status,none,opens UpgradeModal,both,no,active,keep,Trial-only paywall button
Overview,Tab=Activity: Recent calls list,src/components/dashboard/ClientHomeV2.tsx:491,call_logs(latest),none,GET /api/dashboard/home (recentCalls),both,no,active,investigate,"Duplicates V2CallList on the Overview tab. Activity tab is currently a partial second view of Overview. Either kill the tab or kill V2CallList — they overlap"
Calls,Calls header + subtitle,src/app/dashboard/calls/page.tsx:125,none,none,none,both,no,active,keep,Linear page title — gold-standard pattern
Calls,CallsList (filters + 500-row table + analytics off),src/components/dashboard/CallsList.tsx,call_logs(month + filters),admin: stuck-call auto-resolve,GET /api/dashboard/calls,both,no,active,keep,Single canonical call log. Self-heals processing-stuck calls (>5min) — good
Calls,ContactsView (right column),src/components/dashboard/ContactsView.tsx,call_logs.caller_phone (grouped); clients.vip_contacts,clients.vip_contacts,GET /api/dashboard/contacts,both,no,active,keep,Returning-caller history; works
Knowledge,Conflict banner,src/app/dashboard/knowledge/KnowledgePageView.tsx:594,knowledge_chunks(status=conflict),knowledge_chunks(dismiss),GET/PATCH /api/dashboard/knowledge/conflicts,both,no,active,keep,Critical governance signal for AI Compiler
Knowledge,AdminDropdown / Header,src/app/dashboard/knowledge/KnowledgePageView.tsx:619,none,none,none,admin,no,active,keep,Standard admin client picker
Knowledge,Preview / Export / Talk-to-Agent header buttons,src/app/dashboard/knowledge/KnowledgePageView.tsx:626,none,none,GET /api/dashboard/knowledge/export?format=csv; POST /api/dashboard/agent-test,both,no,active,keep,Preview button opens CallContextPreview drawer
Knowledge,KnowledgeHealthScore (Tier 1 left),src/components/dashboard/knowledge/KnowledgeHealthScore.tsx,knowledge_chunks(approved count); knowledge_query_log(unanswered),none,GET /api/dashboard/knowledge/stats; GET /api/dashboard/knowledge/gaps,both,no,active,keep,Computes weighted health score per niche
Knowledge,TestCallCard (Tier 1 center orb),src/components/dashboard/settings/TestCallCard.tsx,clients.ultravox_agent_id,call_logs(test),POST /api/dashboard/agent-test,both,no,active,consolidate,"Same component as Overview/Settings. Shown 4x across nav — keep on Overview as primary; on Knowledge it's a duplicate. Move Knowledge's instance to a small inline button instead"
Knowledge,Quick Add panel (2x2 + KnowledgeTextInput),src/app/dashboard/knowledge/KnowledgePageView.tsx:696,none,clients.business_facts (paste),POST /api/dashboard/knowledge/text,both,no,active,keep,Upload/Scrape/Compile/Browse — opens drawer
Knowledge,InlineFactsEditor card (Tier 2),src/components/dashboard/knowledge/InlineFactsEditor.tsx,clients.business_facts,clients.business_facts,PATCH /api/dashboard/settings,both,no,active,keep,Reseeds pgvector when changed
Knowledge,InlineFaqEditor card (Tier 2),src/components/dashboard/knowledge/InlineFaqEditor.tsx,clients.extra_qa,clients.extra_qa,PATCH /api/dashboard/settings,both,no,active,keep,Reseeds pgvector when changed
Knowledge,KnowledgeGaps card + Bulk AI button (Tier 2),src/components/dashboard/knowledge/KnowledgeGaps.tsx,knowledge_query_log(unresolved),knowledge_chunks(approve),GET/POST /api/dashboard/knowledge/gaps,both,no,active,keep,Bulk AI Answers drawer is a STUB - placeholder content
Knowledge,KnowledgeProvenanceCard (full width),src/components/dashboard/knowledge/KnowledgeProvenanceCard.tsx,knowledge_chunks(source); clients.business_facts; clients.extra_qa; clients.business_hours_weekday,none,GET /api/dashboard/knowledge/stats,both,no,active,keep,Shows where each fact came from
Knowledge,KnowledgeSourceRegistry (Tier 3),src/components/dashboard/knowledge/KnowledgeSourceRegistry.tsx,knowledge_chunks(by source); clients.website_url; clients.gbp_place_id,none,GET /api/dashboard/knowledge/sources,both,no,active,keep,Click → opens chunks drawer pre-filtered
Knowledge,PendingSuggestions (Tier 3),src/components/dashboard/knowledge/PendingSuggestions.tsx,knowledge_suggestions(pending),knowledge_chunks(approve),GET/POST /api/dashboard/knowledge/suggestions,both,no,active,keep,Learning loop intake
Knowledge,TopQueriesCard (Tier 3),src/app/dashboard/knowledge/KnowledgePageView.tsx:132,knowledge_query_log(top by count 90d),none,GET /api/dashboard/knowledge/top-queries,both,no,active,keep,Caller intent signal
Knowledge,AskYourAgent (Tier 4),src/app/dashboard/knowledge/KnowledgePageView.tsx:220,knowledge_chunks(search),none,POST /api/dashboard/preview-question,both,no,active,keep,Live knowledge-base test
Knowledge,KnowledgeDrawer / FileUploadPanel + DocumentList,src/components/dashboard/knowledge/FileUploadPanel.tsx,client_knowledge_docs; knowledge_chunks,client_knowledge_docs(insert); knowledge_chunks(embed),POST /api/dashboard/knowledge/upload; POST /api/embeddings,both,no,active,keep,PDF/doc upload path
Knowledge,KnowledgeDrawer / WebsiteSourcesList + WebsiteKnowledgeCard,src/components/dashboard/settings/WebsiteKnowledgeCard.tsx,clients.website_url; clients.website_scrape_status; knowledge_chunks(website_scrape),clients.website_url; knowledge_chunks(approve),POST /api/dashboard/scrape-website; POST /api/dashboard/knowledge/scrape-approve,both,no,active,investigate,"File lives at components/dashboard/settings/ but is imported by Knowledge. Move to components/dashboard/knowledge/ — settings ownership is misleading"
Knowledge,KnowledgeDrawer / KnowledgeCompiler,src/components/dashboard/knowledge/KnowledgeCompiler.tsx,compiler_runs; knowledge_chunks,compiler_runs; knowledge_chunks(approved),POST /api/dashboard/knowledge/compile + .../apply,both,no,active,keep,AI Compiler with BLOCKED_KINDS / HIGH_RISK_KINDS governance
Knowledge,KnowledgeDrawer / ChunkBrowser,src/components/dashboard/knowledge/ChunkBrowser.tsx,knowledge_chunks(all),knowledge_chunks(approve/reject/delete),GET/PATCH/DELETE /api/dashboard/knowledge/chunks,both,no,active,keep,Source-filter pre-applied when entering from a source card
Knowledge,KnowledgeDrawer / CallContextPreview,src/components/dashboard/knowledge/CallContextPreview.tsx,clients.* (assembled),none,none (in-memory render),both,no,active,keep,Shows exactly what callerContextBlock injects — the trust answer to 'what does my agent see?'
Knowledge,KnowledgeDrawer / Bulk AI Answers,src/app/dashboard/knowledge/KnowledgePageView.tsx:895,none,none,none,both,no,active,investigate,STUB content reads 'Coming soon'. Either ship or remove the drawer entry from QUICK_ADD_ACTIONS
Settings,Admin client selector + info strip,src/app/dashboard/settings/SettingsView.tsx:188,clients(*),none,GET /api/dashboard/clients,admin,no,active,keep,Standard
Settings,QuickSetupStrip (non-admin non-trial; hides when 4/4),src/app/dashboard/settings/SettingsView.tsx:253,clients.agent_voice_id; clients.business_hours_weekday; clients.telegram_*; clients.knowledge_backend,none (deep links),none,client,no,active,investigate,"Duplicates Agent Readiness band on Overview. 4 items here (Voice/Hours/Alerts/Knowledge) overlap 4-of-6 readiness rows. Consolidate or remove"
Settings,Hero col 1: CapabilitiesCard (non-admin),src/components/dashboard/CapabilitiesCard.tsx,buildCapabilityFlags(client),none,GET /api/dashboard/home (capabilities),client,no,active,consolidate,"Duplicates AgentIdentityCardCompact chips on Overview (Greeting/SMS/Telegram/IVR/Voicemail/Booking/Transfer/Website/GBP). Same data shown 2 different ways. Kill on Settings; Overview chips are clearer"
Settings,Hero col 2: TestCallCard,src/components/dashboard/settings/TestCallCard.tsx,clients.ultravox_agent_id,call_logs(test),POST /api/dashboard/agent-test,client,no,active,consolidate,Fourth TestCallCard instance; not needed on Settings — drop
Settings,Hero col 3: Prompt Editor button → PromptEditorModal,src/components/dashboard/settings/PromptEditorModal.tsx,clients.system_prompt + business_facts + extra_qa + hours + context_data,clients.system_prompt and friends,PATCH /api/dashboard/settings,client,no,active,investigate,"Power-user shortcut to edit all prompt-affecting fields in one modal. Duplicates PromptEditorCard further down on the same page. Consolidate — one entry point should win"
Settings,Hero col 3: NotificationsWidget (Telegram/Email/SMS quick toggles),src/app/dashboard/settings/SettingsView.tsx:606,clients.telegram_notifications_enabled; clients.email_notifications_enabled; clients.sms_enabled,those columns,PATCH /api/dashboard/settings,client,no,active,consolidate,"Duplicates AlertsTab + SmsTab + /dashboard/notifications. 3 master toggles shown 4 times across app. Keep here OR keep /dashboard/notifications — not both"
Settings,LegacyPromptBanner (D369),src/app/dashboard/settings/SettingsView.tsx:455,clients.system_prompt (string check for unmissed:* markers),none,none,both,no,active,keep,"Critical signal for D442 root cause — only page-level visibility into the legacy-prompt failure mode. Keep until D442 Fix 2 ships per-field chips everywhere"
Settings,Tab bar (admin only — general/notifications/billing),src/components/dashboard/settings/constants.ts,none,none,URL ?tab,admin,no,active,keep,3-tab bar; non-admin sees only general tab content (tabs hidden)
Settings/general,Admin: SetupCard (top row),src/components/dashboard/settings/SetupCard.tsx,clients.twilio_number; clients.forwarding_number; clients.transfer_conditions; clients.setup_complete,those columns,PATCH /api/dashboard/settings,admin,no,active,investigate,"Owns forwarding+conditions for admin. Duplicates CallRoutingCard further down. Consolidate"
Settings/general,Admin: PlanInfoCard,src/components/dashboard/settings/PlanInfoCard.tsx,clients.selected_plan; clients.subscription_status; clients.seconds_used; clients.monthly_minute_limit; clients.bonus_minutes; clients.trial_*,none,Stripe portal callback,both,no,active,keep,Plan + minutes display. Also rendered for non-admin at bottom — duplicate render but same component
Settings/general,Admin: BillingCard,src/components/dashboard/settings/BillingCard.tsx,clients.stripe_customer_id; clients.subscription_*; clients.cancel_at,Stripe portal,POST /api/billing/portal,both,no,active,keep,Same — rendered twice (admin top + non-admin bottom)
Settings/general,Admin: CapabilitiesCard,src/components/dashboard/CapabilitiesCard.tsx,buildCapabilityFlags,none,GET /api/dashboard/home,admin,no,active,consolidate,Second instance — admin sees it both at top of grid and (notionally) via Overview hero. Remove from AgentTab admin row
Settings/general,TestCallCard (in grid),src/components/dashboard/settings/TestCallCard.tsx,clients.ultravox_agent_id,call_logs(test),POST /api/dashboard/agent-test,both,no,active,consolidate,Third on this page (after admin hero and non-admin hero). Drop here
Settings/general,QuickSetupStrip (non-admin in-grid),src/components/dashboard/settings/QuickSetupStrip.tsx,clients(setup state),none,none,client,no,active,consolidate,Duplicate of the Settings-page-level QuickSetupStrip
Settings/general,Admin: AgentOverviewCard (identity hero),src/components/dashboard/settings/AgentOverviewCard.tsx,clients.agent_name; clients.business_name; clients.system_prompt(length),clients.status,PATCH /api/dashboard/settings,admin,no,active,keep,Admin identity hero with status pause/play
Settings/general,Admin: CallHandlingModeCard,src/components/dashboard/settings/CallHandlingModeCard.tsx,clients.call_handling_mode,clients.call_handling_mode,PATCH /api/dashboard/settings,admin,no,active,keep,DB_PLUS_PROMPT; triggers patcher + sync. Surfaces FieldSyncStatusChip ✅
Settings/general,Non-admin: AgentModeCard,src/components/dashboard/settings/AgentModeCard.tsx,clients.agent_mode; clients.call_handling_mode,clients.agent_mode (+ call_handling_mode auto-sync),PATCH /api/dashboard/settings,client,no,active,keep,Replaces CallHandlingModeCard for non-admin
Settings/general,VoiceStyleCard,src/components/dashboard/settings/VoiceStyleCard.tsx,clients.voice_style_preset,clients.voice_style_preset,PATCH /api/dashboard/settings,both,no,active,keep,Triggers patchVoiceStyleSection + sync via prompt change
Settings/general,VoicemailGreetingCard,src/components/dashboard/settings/VoicemailGreetingCard.tsx,clients.voicemail_greeting_text; clients.voicemail_greeting_audio_url,clients.voicemail_greeting_text,PATCH /api/dashboard/settings,both,no,active,keep,DB_ONLY fallback path; also exposed via Overview chip — keep both but make it clear it's a fallback
Settings/general,Admin: SectionEditorCard 'identity',src/components/dashboard/settings/SectionEditorCard.tsx,clients.system_prompt(section parse),clients.system_prompt(replace),PATCH /api/dashboard/settings,admin,no,active,keep,Section markers only — silently no-ops on 4/5 legacy clients (D442); FieldSyncStatusChip is consumed
Settings/general,PromptVariablesCard (D283b lego pieces),src/components/dashboard/settings/PromptVariablesCard.tsx,niche_custom_variables,niche_custom_variables,GET/PATCH /api/dashboard/variables,both,no,active,investigate,"D442 FAKE CONTROL on legacy clients. variables/route.ts L218 — regenerateSlots returns success:false → DB write lands but prompt never changes. Same root cause as Overview Greeting modal. FieldSyncStatusChip IS consumed here ✅"
Settings/general,ServicesOfferedCard,src/components/dashboard/settings/ServicesOfferedCard.tsx,clients.services_offered,clients.services_offered,PATCH /api/dashboard/settings,both,no,active,keep,Triggers services patcher; works
Settings/general,AgentKnowledgeCard (deep-link to Knowledge),src/components/dashboard/settings/AgentKnowledgeCard.tsx,clients.business_facts; clients.extra_qa(counts),none,GET /api/dashboard/home,both,no,active,consolidate,Duplicates AgentKnowsCard from Overview AND TopQueries from Knowledge page. Drop — sole purpose is a link
Settings/general,Non-admin: 'Manage knowledge' link card,src/components/dashboard/settings/AgentTab.tsx:534,none,none,none,client,no,active,consolidate,Pure link card duplicating AgentKnowledgeCard above
Settings/general,Non-admin: ContextDataCard (PM only),src/components/dashboard/settings/ContextDataCard.tsx,clients.context_data; clients.context_data_label,clients.context_data; clients.context_data_label,PATCH /api/dashboard/settings,client,no,active,keep,Property-management tenant table; PER_CALL_CONTEXT_ONLY
Settings/general,Admin: AdvancedContextCard,src/components/dashboard/settings/AdvancedContextCard.tsx,clients.business_facts; clients.extra_qa; clients.context_data; clients.injected_note,those columns,PATCH /api/dashboard/settings,admin,no,active,consolidate,All four fields are accessible via Overview/Knowledge in non-admin view AND via inline modals. Duplicates AgentKnowsCard + InlineFactsEditor + InlineFaqEditor + TodayUpdateModal. Drop — admin should use the same surfaces
Settings/general,Admin: WebsiteSourcesList (knowledge subsection),src/components/dashboard/settings/WebsiteSourcesList.tsx,clients.website_url; knowledge_chunks(website_scrape),none,GET /api/dashboard/knowledge/sources,admin,no,active,consolidate,Identical to Knowledge-page drawer instance; remove from Settings
Settings/general,Admin: WebsiteKnowledgeCard (in grid),src/components/dashboard/settings/WebsiteKnowledgeCard.tsx,same as Knowledge,clients.website_url; knowledge_chunks(approve),POST /api/dashboard/scrape-website,admin,no,active,consolidate,Identical to Knowledge-page drawer instance; remove from Settings
Settings/general,Admin: KnowledgeEngineCard,src/components/dashboard/settings/KnowledgeEngineCard.tsx,clients.knowledge_backend; knowledge_chunks(count),clients.knowledge_backend,PATCH /api/dashboard/settings,admin,no,active,keep,Admin-only pgvector toggle. FieldSyncStatusChip consumed ✅ (gold-standard pattern)
Settings/general,Admin: SectionEditorCard 'knowledge',src/components/dashboard/settings/SectionEditorCard.tsx,clients.system_prompt(section parse),clients.system_prompt(replace),PATCH /api/dashboard/settings,admin,no,active,keep,Admin power tool
Settings/general,Non-admin: 'Answering schedule' link → /dashboard/go-live,src/components/dashboard/settings/AgentTab.tsx:555,none,none,none,client,no,active,keep,Cheap nudge to the dedicated Go Live flow
Settings/general,CallRoutingCard,src/components/dashboard/settings/CallRoutingCard.tsx,clients.forwarding_number; clients.transfer_conditions,those columns,PATCH /api/dashboard/settings,both,pro/core,active,keep,Transfer config. Triggers sync. Duplicates Overview TransferModal but full form is reasonable
Settings/general,SectionEditorCard 'triage',src/components/dashboard/settings/SectionEditorCard.tsx,clients.system_prompt(triage section),clients.system_prompt(replace),PATCH /api/dashboard/settings,both,no,active,keep,Owner-editable triage script; per D251 ✅
Settings/general,PmConfigCard (PM only),src/components/dashboard/settings/PmConfigCard.tsx,clients.* (PM-specific),clients.* (PM-specific),PATCH /api/dashboard/settings,both (PM niche),no,active,keep,D422 — property management config
Settings/general,Admin: BookingCard,src/components/dashboard/settings/BookingCard.tsx,clients.booking_enabled; clients.calendar_auth_status; clients.booking_service_duration_minutes; clients.booking_buffer_minutes,those columns,PATCH /api/dashboard/settings; OAuth,admin,pro,active,keep,Calendar config with post-enable verification. FieldSyncStatusChip ✅
Settings/general,Non-admin: 'Booking on Actions page' link,src/components/dashboard/settings/AgentTab.tsx:610,none,none,none,client,no,active,consolidate,Sole purpose is to redirect to /dashboard/actions — collapse with Booking modal on Overview
Settings/general,StaffRosterCard (booking),src/components/dashboard/settings/StaffRosterCard.tsx,clients.staff_roster,clients.staff_roster,PATCH /api/dashboard/settings,both,pro,active,keep,PER_CALL_CONTEXT_ONLY
Settings/general,IvrMenuCard,src/components/dashboard/settings/IvrMenuCard.tsx,clients.ivr_enabled; clients.ivr_prompt,those columns,PATCH /api/dashboard/settings,both,no,active,keep,DB_ONLY runtime gate. Also exposed via Overview IvrModal — pick one home and link from the other
Settings/general,VIPContactsCard,src/components/dashboard/settings/VIPContactsCard.tsx,clients.vip_contacts,clients.vip_contacts,PATCH /api/dashboard/settings,both,pro,active,investigate,Plan-gated to transfer feature. Confirm vip_contacts is actually wired into call routing (per S12 D98 — outbound VIP path)
Settings/general,PromptEditorCard,src/components/dashboard/settings/PromptEditorCard.tsx,clients.system_prompt,clients.system_prompt,PATCH /api/dashboard/settings,both,no,active,keep,Full-width script editor with validatePrompt. Also opened via Settings hero button — pick one entry point
Settings/general,Admin: ImprovePromptCard,src/components/dashboard/settings/ImprovePromptCard.tsx,clients.system_prompt; call_logs(recent),clients.system_prompt,POST /api/dashboard/improve-prompt,admin,no,active,keep,Lyra-style suggest-improvements
Settings/general,Admin: PromptVersionsCard,src/components/dashboard/settings/PromptVersionsCard.tsx,prompt_versions,clients.system_prompt; clients.active_prompt_version_id,GET/POST /api/dashboard/prompt-versions,admin,no,active,keep,Restore prior versions; insertPromptVersion writes here on every save
Settings/general,OutboundAgentConfigCard,src/components/dashboard/OutboundAgentConfigCard.tsx,clients.outbound_*,clients.outbound_*,PATCH /api/dashboard/settings,both,no,active,investigate,Outbound calling fields are DB_ONLY and outbound MVP route was 'not found in codebase' per per-call-context-contract §1.10. Verify wiring or remove
Settings/general,LearningLoopCard,src/components/dashboard/settings/LearningLoopCard.tsx,clients.pending_loop_suggestion; loop_suggestions,clients.pending_loop_suggestion,POST /api/dashboard/learning-loop/apply,both,plan.learningLoopEnabled,active,keep,Per-client loop feedback; PROD ✅
Settings/general,PromptSuggestionsCard,src/components/dashboard/settings/PromptSuggestionsCard.tsx,loop_suggestions(pending),none,GET /api/dashboard/learning-loop/suggestions,both,plan.learningLoopEnabled,active,keep,Suggestion queue
Settings/general,Admin: AgentConfigCard,src/components/dashboard/settings/AgentConfigCard.tsx,clients.agent_voice_id; clients.ultravox_agent_id; clients.telegram_chat_id,clients.agent_voice_id (via VoicePicker subroute),POST /api/dashboard/agent-config,admin,no,active,keep,Admin power tool — shows raw IDs
Settings/general,Admin: WebhooksCard,src/components/dashboard/settings/WebhooksCard.tsx,(URL builder only),none,none,admin,no,active,keep,Read-only webhook URL display for Twilio config
Settings/general,Admin: GodModeCard,src/components/dashboard/settings/GodModeCard.tsx,clients.telegram_bot_token; clients.telegram_chat_id; clients.twilio_number; clients.monthly_minute_limit; clients.timezone,those columns (admin only),PATCH /api/dashboard/settings,admin,no,active,investigate,"twilio_number write is admin-only per FIELD_REGISTRY but D442 §Risk-2 + mutation-contract §7.2 confirm it is NOT in needsAgentSync until a separate sms toggle fires. Latent fake-control. Either fix the route or surface a warning chip"
Settings/general,Admin: RuntimeCard,src/components/dashboard/settings/RuntimeCard.tsx,clients.tools; clients.last_agent_sync_*; ultravox API,none,GET /api/dashboard/ultravox-agent (?),admin,no,active,keep,Admin truth-tracer for live agent state
Settings/general,Non-admin: Timezone select,src/components/dashboard/settings/AgentTab.tsx:751,clients.timezone,clients.timezone,PATCH /api/dashboard/settings,client,no,active,keep,Inline select; cheap. PER_CALL_CONTEXT_ONLY
Settings/general,Non-admin: PlanInfoCard (bottom),src/components/dashboard/settings/PlanInfoCard.tsx,same as admin top,none,Stripe portal,client,no,active,consolidate,Same component as Settings hero (when admin)
